Rocky III,1,2
American Pie,1,4
Jay and Silent Bob Strike Back,1,2
2001: A Space Odyssey,2,3
Three Colors: Red,2,4
Wings of Desire,2,3
48 Hrs.,2,5
Lost in Translation,2,4
Ocean's Eleven,2,3
Back to the Future Part II,2,3
Star Trek IV: The Voyage Home,2,3
A Clockwork Orange,2,3
Lucky Number Slevin,2,3
Rebecca,2,1
Stand by Me,2,3
Live and Let Die,2,4
Cat on a Hot Tin Roof,2,4
Contempt,2,5
Batman Begins,2,3
Terminator 3: Rise of the Machines,2,4
The Science of Sleep,2,3
Catwoman,2,4
True Romance,2,1
Night on Earth,2,3
The Devil Wears Prada,2,4
Batman Returns,2,3
La Strada,2,2
Romeo + Juliet,2,4
Sissi,2,3
My Own Private Idaho,2,4
The Green Mile,2,3
Reservoir Dogs,2,4
Love Actually,2,4
Notting Hill,2,4
Once Were Warriors,2,4
Psycho,2,3
Fight Club,2,3
The Poseidon Adventure,2,5
Monsters Inc.,2,5
Wag the Dog,2,3
Big Fish,2,3
Silent Hill,2,3
The Hours,2,5
The Conversation,2,5
The Last Samurai,2,3
Three Colors: Red,3,4
The Killing,3,3
Terminator 3: Rise of the Machines,3,4
Once Were Warriors,3,3
Silent Hill,3,3
The Conversation,3,3
To Kill a Mockingbird,3,2
Finding Neverland,3,3
300,3,3
Shortbus,3,4
Rope,3,3
Say Anything...,3,4
A Very Long Engagement,3,4
License to Wed,3,5
Donnie Darko,4,5
Lost in Translation,4,4
20000 Leagues Under the Sea,4,3
A Clockwork Orange,4,3
The 39 Steps,4,5
Casablanca,4,4
Terminator 3: Rise of the Machines,4,5
Jurassic Park,4,3
Batman Returns,4,5
Rain Man,4,3
Cube,4,3
The Day After Tomorrow,4,1
Aliens vs Predator: Requiem,4,4
Silent Hill,4,5
The Hours,4,3
The Terminal,4,5
The Grapes of Wrath,4,5
The Last Samurai,4,5
Sleepless in Seattle,4,5
Cool Hand Luke,4,5
The Big Sleep,4,4
The Thomas Crown Affair,4,5
Arlington Road,4,5
Point Break,4,5
Dreamgirls,4,5
The Talented Mr. Ripley,4,5
Because I Said So,4,5
Notes on a Scandal,4,4
Bridge to Terabithia,4,5
The Dreamers,4,5
Rocky III,4,4
Blood Diamond,4,3
Rocky IV,4,4
Mirror,4,5
Imagine Me & You,4,3
Rope,4,5
Transformers,4,5
The Butterfly Effect,4,5
My Name Is Bruce,4,5
Fools Rush In,4,5
Aguirre: The Wrath of God,4,5
Sister Act,4,5
The Wedding Planner,4,5
Training Day,4,4
The Gift,4,5
Mr. Holland's Opus,4,3
While You Were Sleeping,4,5
X-Men Origins: Wolverine,4,5
Romeo Must Die,4,5
Nick of Time,4,5
The Last Castle,4,5
American Pie,4,4
Rush Hour,4,5
Wasabi,4,3
Final Fantasy: The Spirits Within,4,5
Color of Night,4,4
Kiss of the Dragon,4,5
Fantastic Voyage,4,5
The Golden Compass,4,5
Cold Mountain,4,5
The Chronicles of Narnia: Prince Caspian,4,5
Uncle Buck,4,1
Heathers,4,5
American Pie 2,4,1
Reality Bites,4,5
The Chronicles of Riddick: Dark Fury,4,5
Young Frankenstein,4,5
Night Watch,4,5
Run Lola Run,5,4
Donnie Darko,5,4
48 Hrs.,5,4
Syriana,5,3
Underworld,5,4
Batman Returns,5,4
Aliens vs Predator: Requiem,5,4
Reservoir Dogs,5,4
Wag the Dog,5,4
Silent Hill,5,3
To Kill a Mockingbird,5,4
Titanic,5,5
Mrs. Doubtfire,5,3
Sleepless in Seattle,5,2
Cool Hand Luke,5,3
The Good Shepherd,5,4
Imagine Me & You,5,3
Fahrenheit 9/11,5,4
Twin Peaks: Fire Walk with Me,5,4
My Name Is Bruce,5,4
Fools Rush In,5,4
Two Brothers,5,3
Hidalgo,5,1
Jay and Silent Bob Strike Back,5,4
Reign Over Me,5,3
The Bourne Supremacy,5,3
American Pie 2,5,3
The Searchers,5,3
Battle Royale,5,3
Boogie Nights,5,4
Scarface,6,4
Knockin' on Heaven's Door,6,2
20000 Leagues Under the Sea,6,2
A River Runs Through It,6,5
The Grapes of Wrath,6,4
Cool Hand Luke,6,4
Ghost Rider,6,4
Notes on a Scandal,6,4
Speed 2: Cruise Control,6,2
Escape from the Planet of the Apes,6,2
Don Juan DeMarco,6,3
We Own the Night,6,3
